CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,0.6931471805599453,11.253955234248428,0,Loyal Customers
12347.0,2,2.0794415416798357,8.368925174747135,2,VIP Customers
12348.0,75,1.6094379124341003,7.494563687769957,0,Loyal Customers
12349.0,19,0.6931471805599453,7.472244884833674,0,Loyal Customers
12350.0,310,0.6931471805599453,5.815323849389109,1,Inactive Customers
12352.0,36,2.1972245773362196,7.826858053356098,2,VIP Customers
12353.0,204,0.6931471805599453,4.499809670330265,1,Inactive Customers
12354.0,232,0.6931471805599453,6.985086621918461,1,Inactive Customers
12355.0,214,0.6931471805599453,6.132095676847728,1,Inactive Customers
12356.0,23,1.3862943611198906,7.941804157314053,0,Loyal Customers
12357.0,33,0.6931471805599453,8.733701981297274,0,Loyal Customers
12358.0,2,1.0986122886681098,7.063955286074528,0,Loyal Customers
12359.0,58,1.6094379124341003,8.759916600117213,0,Loyal Customers
12360.0,52,1.3862943611198906,7.887231116540211,0,Loyal Customers
12361.0,287,0.6931471805599453,5.251749730731702,1,Inactive Customers
12362.0,3,2.3978952727983707,8.56163678004062,2,VIP Customers
12363.0,110,1.0986122886681098,6.315358001522335,3,At-Risk Customers
12364.0,8,1.6094379124341003,7.180907299649593,0,Loyal Customers
12365.0,291,1.0986122886681098,6.465180028897591,1,Inactive Customers
12367.0,4,0.6931471805599453,5.135210028677887,3,At-Risk Customers
12370.0,51,1.6094379124341003,8.173770053153254,0,Loyal Customers
12371.0,45,1.0986122886681098,7.543781692052325,0,Loyal Customers
12372.0,72,1.3862943611198906,7.169380809114136,0,Loyal Customers
12373.0,311,0.6931471805599453,5.901539839579995,1,Inactive Customers
12374.0,25,0.6931471805599453,6.6119469443852195,3,At-Risk Customers
12375.0,11,1.0986122886681098,6.127960291696519,3,At-Risk Customers
12377.0,315,1.0986122886681098,7.395795270713971,1,Inactive Customers
12378.0,130,0.6931471805599453,8.29645175271804,0,Loyal Customers
12379.0,82,1.0986122886681098,6.749040867823617,3,At-Risk Customers
